(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Standard (72 verts): 
		Cube (2) (24 verts)	5	True	False	False	1	[Bande blue (UnityEngine.Material)] 	
		Cube (1) (24 verts)	111	True	False	False	1	[Bande blue (UnityEngine.Material)] 	
		Cube (24 verts)	111	True	False	False	1	[Bande blue (UnityEngine.Material)] 	
	Standard (72 verts): 
		Cube (1) (24 verts)	14	True	False	False	1	[Bande blue 1 (UnityEngine.Material)] 	
		Cube (24 verts)	54	True	False	False	1	[Bande blue 1 (UnityEngine.Material)] 	
		Cube (2) (24 verts)	49	True	False	False	1	[Bande blue 1 (UnityEngine.Material)] 	
	Standard (72 verts): 
		Cube (1) (24 verts)	54	True	False	False	1	[Bande blue 2 (UnityEngine.Material)] 	
		Cube (24 verts)	49	True	False	False	1	[Bande blue 2 (UnityEngine.Material)] 	
		Cube (2) (24 verts)	86	True	False	False	1	[Bande blue 2 (UnityEngine.Material)] 	
	Standard (72 verts): 
		Cube (2) (24 verts)	14	True	False	False	1	[Bande blue 3 (UnityEngine.Material)] 	
		Cube (24 verts)	5	True	False	False	1	[Bande blue 3 (UnityEngine.Material)] 	
		Cube (1) (24 verts)	86	True	False	False	1	[Bande blue 3 (UnityEngine.Material)] 	
	Standard (648 verts): 
		Cube (13) (24 verts)	41	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (9) (24 verts)	124	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (22) (24 verts)	10	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (18) (24 verts)	128	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (1) (24 verts)	75	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (10) (24 verts)	73	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (11) (24 verts)	130	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (11) (24 verts)	24	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (2) (24 verts)	70	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (20) (24 verts)	82	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (12) (24 verts)	109	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (24) (24 verts)	83	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (3) (24 verts)	12	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (17) (24 verts)	119	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (14) (24 verts)	65	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (12) (24 verts)	26	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (19) (24 verts)	131	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (9) (24 verts)	17	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (4) (24 verts)	122	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (6) (24 verts)	95	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (16) (24 verts)	39	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (23) (24 verts)	88	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (5) (24 verts)	103	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (7) (24 verts)	48	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (21) (24 verts)	104	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (8) (24 verts)	66	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
		Cube (15) (24 verts)	97	True	False	False	1	[concrete_tiles_002_bitmap (UnityEngine.ProceduralMaterial)] 	
	Standard (2400 verts): 
		Cube (1) (24 verts)	16	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		front (2) (24 verts)	98	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (8) (24 verts)	29	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (7) (24 verts)	13	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (24) (24 verts)	117	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (11) (24 verts)	53	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (6) (24 verts)	59	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (4) (24 verts)	80	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		front (9) (24 verts)	115	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		back (6) (24 verts)	77	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		front (1) (24 verts)	61	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (4) (24 verts)	123	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (13) (24 verts)	2	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (20) (24 verts)	118	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (17) (24 verts)	114	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		front (3) (24 verts)	25	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (22) (24 verts)	42	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (14) (24 verts)	101	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		front (8) (24 verts)	27	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (4) (24 verts)	108	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		back (11) (24 verts)	116	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (3) (24 verts)	47	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (12) (24 verts)	79	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (4) (24 verts)	78	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (9) (24 verts)	52	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (2) (24 verts)	23	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (27) (24 verts)	92	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (3) (24 verts)	8	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (3) (24 verts)	107	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (24 verts)	113	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (16) (24 verts)	105	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (4) (24 verts)	20	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		back (7) (24 verts)	51	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (7) (24 verts)	68	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (2) (24 verts)	9	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (7) (24 verts)	57	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (5) (24 verts)	62	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		back (8) (24 verts)	127	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		back (1) (24 verts)	50	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (8) (24 verts)	132	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (9) (24 verts)	0	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (7) (24 verts)	129	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		back (3) (24 verts)	46	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		back (2) (24 verts)	120	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (24 verts)	89	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (4) (24 verts)	96	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (5) (24 verts)	33	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (2) (24 verts)	100	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (11) (24 verts)	93	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		Cube (5) (24 verts)	94	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		front (6) (24 verts)	71	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
		front (4) (24 verts)	60	True	False	False	1	[Wall_Paint (UnityEngine.ProceduralMaterial)] 	
